# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
592 118 7 0.628000
593 120 7 0.593000
594 120 7 0.639000
595 118 7 0.642000
596 118 7 0.647000
597 116 6 0.545000
598 116 7 0.659000
599 115 7 0.637000
600 115 7 0.629000
601 115 7 0.658000
602 115 7 0.662000
603 117 6 0.546000
604 117 7 0.656000
605 116 7 0.623000
606 117 7 0.638000
607 117 7 0.634000
608 116 8 0.763000
609 117 7 0.622000
610 116 7 0.621000
611 115 7 0.604000
612 116 7 0.610000
613 116 7 0.619000
614 124 7 0.602000
615 121 7 0.608000
616 121 7 0.621000
617 122 7 0.610000
618 123 7 0.606000
619 122 7 0.605000
620 122 7 0.604000
621 123 7 0.594000
622 126 7 0.593000
623 127 7 0.585000
624 127 6 0.520000
625 126 7 0.598000
626 128 7 0.601000
627 127 7 0.601000
628 127 6 0.515000
629 127 7 0.600000
630 127 7 0.607000
631 126 7 0.609000
632 124 7 0.611000
633 125 7 0.610000
634 125 7 0.616000
635 125 6 0.494000
636 125 6 0.536000
637 125 7 0.608000
638 125 7 0.604000
639 125 8 0.691000
640 126 7 0.602000
641 123 7 0.605000
642 120 7 0.614000
643 120 6 0.504000
644 121 7 0.577000
645 122 7 0.615000
646 118 6 0.543000
647 118 7 0.619000
648 118 7 0.591000
649 119 7 0.596000
650 119 7 0.587000
651 120 6 0.541000
652 120 6 0.534000
653 121 8 0.697000
654 121 8 0.696000
655 122 7 0.615000
656 124 6 0.532000
657 123 7 0.606000
658 124 7 0.607000
659 124 7 0.606000
660 124 7 0.616000
661 124 7 0.608000
662 124 7 0.610000
663 124 7 0.578000
664 120 7 0.628000
665 125 7 0.620000
666 125 7 0.620000
667 123 7 0.614000
668 122 6 0.535000
669 122 6 0.531000
670 122 6 0.526000
671 121 7 0.619000
672 121 7 0.611000
673 120 6 0.517000
674 120 7 0.623000
675 120 7 0.633000
676 120 7 0.607000
677 120 7 0.633000
678 119 7 0.627000
679 118 7 0.613000
680 125 7 0.598000
681 125 7 0.614000
682 124 7 0.613000
683 124 6 0.529000
684 124 7 0.600000
685 124 6 0.531000
686 124 6 0.537000
687 124 7 0.621000
688 125 7 0.610000
689 122 7 0.607000
690 123 7 0.589000
691 123 7 0.628000
692 123 6 0.518000
693 123 6 0.554000
694 123 5 0.468000
695 123 6 0.514000
696 123 7 0.634000
697 124 7 0.643000
698 125 7 0.652000
699 125 6 0.567000
700 123 7 0.643000
701 123 6 0.548000
702 122 7 0.623000
703 122 7 0.627000
704 123 7 0.626000
705 122 7 0.638000
706 122 7 0.633000
707 121 7 0.626000
708 122 7 0.634000
709 121 7 0.634000
710 118 7 0.617000
711 118 7 0.614000
712 122 7 0.635000
713 121 7 0.599000
714 121 7 0.629000
715 122 7 0.640000
716 121 6 0.523000
717 121 6 0.554000
718 120 6 0.557000
719 120 6 0.529000
720 122 6 0.549000
721 125 7 0.633000
722 125 7 0.637000
723 124 7 0.639000
724 122 6 0.554000
725 124 6 0.552000
726 124 6 0.552000
727 125 7 0.639000
728 125 7 0.647000
729 125 7 0.656000
730 125 6 0.565000
731 115 7 0.628000
732 117 7 0.622000
733 117 7 0.624000
734 117 7 0.625000
735 118 7 0.592000
736 117 7 0.625000
737 117 7 0.625000
738 117 6 0.539000
739 116 6 0.550000
740 116 7 0.625000
741 115 7 0.593000
742 115 7 0.640000
743 115 7 0.635000
744 115 7 0.634000
745 117 6 0.511000
746 119 7 0.629000
747 119 7 0.617000
748 117 6 0.510000
749 118 6 0.517000
750 118 6 0.528000
751 118 7 0.563000
752 119 6 0.491000
753 118 6 0.494000
754 117 6 0.514000
755 117 7 0.605000
756 116 7 0.572000
757 116 7 0.618000
758 116 7 0.622000
759 116 7 0.580000
760 115 7 0.582000
761 116 7 0.608000
762 116 6 0.537000
763 116 7 0.575000
764 116 7 0.606000
765 116 7 0.599000
766 116 7 0.609000
767 115 6 0.512000
768 115 6 0.507000
769 115 5 0.454000
770 115 6 0.535000
771 114 7 0.582000
772 114 7 0.580000
773 114 7 0.578000
774 116 7 0.578000
775 116 7 0.571000
776 116 7 0.620000
777 116 7 0.616000
778 116 6 0.510000
779 115 7 0.592000
780 115 7 0.595000
781 115 7 0.604000
782 115 7 0.596000
783 115 7 0.647000
784 115 7 0.638000
785 116 7 0.582000
786 115 7 0.602000
787 115 7 0.600000
788 115 7 0.600000
789 115 7 0.635000
790 115 7 0.594000
791 114 7 0.596000
792 115 7 0.627000
793 115 7 0.602000
794 117 7 0.619000
795 118 7 0.594000
796 117 7 0.599000
797 117 7 0.602000
798 118 7 0.596000
799 119 7 0.630000
800 119 7 0.631000
801 118 6 0.515000
802 118 7 0.591000
803 120 7 0.625000
804 121 7 0.615000
805 120 7 0.584000
806 120 6 0.528000
807 120 6 0.537000
808 119 7 0.617000
809 119 7 0.620000
810 119 6 0.509000
811 119 7 0.614000
812 118 6 0.540000
813 118 7 0.583000
814 118 7 0.615000
815 118 7 0.608000
816 119 7 0.613000
817 119 7 0.613000
818 120 7 0.619000
819 119 7 0.626000
820 119 7 0.642000
821 119 6 0.540000
822 119 7 0.606000
823 119 7 0.610000
824 119 6 0.540000
825 119 5 0.432000
826 118 5 0.460000
827 118 7 0.588000
828 121 7 0.623000
829 121 7 0.612000
830 121 7 0.613000
831 121 6 0.527000
832 119 5 0.435000
833 118 7 0.600000
834 118 7 0.624000
835 118 7 0.613000
836 118 7 0.653000
837 117 7 0.634000
838 117 6 0.546000
839 117 7 0.596000
840 117 7 0.616000
841 117 7 0.595000
842 118 6 0.547000
843 115 7 0.589000
844 116 7 0.627000
845 116 7 0.592000
846 116 7 0.587000
847 116 7 0.591000
848 116 7 0.587000
849 117 7 0.586000
850 115 6 0.509000
851 117 5 0.428000
852 117 5 0.429000
853 117 5 0.455000
854 117 7 0.623000
855 117 7 0.586000
856 117 7 0.593000
857 120 6 0.538000
858 120 6 0.537000
859 121 6 0.544000
860 121 6 0.538000
861 121 5 0.452000
862 120 6 0.532000
863 120 7 0.619000
864 120 6 0.538000
865 120 6 0.519000
866 120 7 0.625000
867 120 7 0.590000
868 120 7 0.597000
869 123 7 0.608000
870 123 7 0.618000
871 123 7 0.581000
872 122 7 0.618000
873 119 7 0.626000
874 119 7 0.634000
875 117 7 0.593000
