# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
632 242 8 1.513000
633 241 8 1.514000
634 240 7 1.314000
635 240 8 1.482000
636 240 8 1.493000
637 241 8 1.482000
638 241 7 1.332000
639 241 8 1.493000
640 240 8 1.489000
641 241 8 1.491000
642 241 8 1.478000
643 239 8 1.489000
644 239 7 1.322000
645 239 8 1.498000
646 239 8 1.491000
647 238 8 1.501000
648 238 8 1.495000
649 238 8 1.492000
650 239 7 1.307000
651 241 8 1.463000
652 240 8 1.486000
653 240 8 1.484000
654 240 6 1.155000
655 242 8 1.543000
656 244 8 1.525000
657 240 8 1.493000
658 242 8 1.491000
659 242 8 1.494000
660 242 7 1.321000
661 243 7 1.330000
662 237 8 1.529000
663 243 8 1.516000
664 243 8 1.494000
665 239 7 1.334000
666 239 8 1.493000
667 238 8 1.502000
668 238 7 1.334000
669 239 8 1.498000
670 239 7 1.323000
671 241 8 1.479000
672 242 9 1.667000
673 242 9 1.664000
674 243 7 1.313000
675 244 8 1.485000
676 245 7 1.332000
677 246 7 1.323000
678 246 8 1.495000
679 245 8 1.481000
680 246 8 1.482000
681 244 8 1.516000
682 244 7 1.351000
683 244 8 1.500000
684 242 8 1.505000
685 242 8 1.480000
686 241 8 1.482000
687 244 8 1.516000
688 245 8 1.543000
689 243 7 1.350000
690 242 7 1.354000
691 241 8 1.530000
692 241 8 1.517000
693 240 7 1.354000
694 240 8 1.519000
695 239 8 1.526000
696 240 7 1.373000
697 241 7 1.357000
698 240 8 1.525000
699 240 8 1.533000
700 240 8 1.535000
701 241 7 1.354000
702 244 7 1.344000
703 244 8 1.517000
704 242 8 1.523000
705 242 8 1.509000
706 242 7 1.345000
707 241 8 1.533000
708 243 8 1.551000
709 242 8 1.558000
710 242 8 1.544000
711 243 7 1.370000
712 240 7 1.366000
713 240 8 1.529000
714 242 8 1.571000
715 242 7 1.387000
716 241 7 1.355000
717 241 8 1.542000
718 240 7 1.366000
719 232 7 1.368000
720 232 7 1.366000
721 233 7 1.355000
722 234 7 1.351000
723 236 7 1.343000
724 235 7 1.375000
725 235 8 1.546000
726 234 8 1.563000
727 234 7 1.356000
728 236 7 1.285000
729 236 7 1.281000
730 239 7 1.281000
731 242 7 1.261000
732 242 7 1.258000
733 243 8 1.436000
734 243 8 1.444000
735 243 8 1.448000
736 246 8 1.532000
737 246 7 1.354000
738 247 8 1.539000
739 247 8 1.531000
740 245 7 1.341000
741 246 8 1.537000
742 248 8 1.545000
743 247 8 1.552000
744 247 7 1.357000
745 247 8 1.524000
746 245 8 1.542000
747 247 8 1.536000
748 245 8 1.549000
749 247 7 1.377000
750 244 8 1.541000
751 241 8 1.549000
752 241 8 1.527000
753 242 7 1.337000
754 242 7 1.346000
755 242 8 1.536000
756 243 8 1.527000
757 243 8 1.553000
758 242 8 1.541000
759 241 8 1.546000
760 242 8 1.535000
761 239 8 1.461000
762 239 8 1.471000
763 238 8 1.454000
764 239 8 1.470000
765 239 8 1.467000
766 238 8 1.477000
767 239 7 1.309000
768 239 7 1.307000
769 240 8 1.488000
770 240 8 1.493000
771 240 8 1.480000
772 242 8 1.517000
773 242 8 1.505000
774 242 8 1.513000
775 236 8 1.491000
776 236 8 1.482000
777 235 8 1.485000
778 235 8 1.478000
779 235 8 1.482000
780 240 8 1.467000
781 240 9 1.635000
782 240 8 1.476000
783 241 8 1.484000
784 242 8 1.500000
785 240 8 1.464000
786 240 8 1.463000
787 240 8 1.459000
788 241 8 1.474000
789 242 8 1.484000
790 242 8 1.501000
791 243 8 1.502000
792 243 8 1.498000
793 244 8 1.518000
794 243 7 1.349000
795 241 7 1.325000
796 241 8 1.501000
797 241 8 1.490000
798 241 7 1.340000
799 240 8 1.492000
800 241 8 1.507000
801 240 7 1.328000
802 240 8 1.490000
803 239 8 1.491000
804 239 8 1.477000
805 243 8 1.479000
806 238 7 1.320000
807 238 7 1.330000
808 239 7 1.322000
809 240 8 1.479000
810 239 8 1.499000
811 239 8 1.477000
812 239 8 1.469000
813 235 8 1.524000
814 237 8 1.469000
815 240 8 1.507000
816 240 8 1.501000
817 239 8 1.507000
818 238 7 1.318000
819 238 8 1.484000
820 238 8 1.479000
821 236 8 1.479000
822 225 8 1.489000
823 225 8 1.497000
824 226 8 1.523000
825 223 7 1.325000
826 224 7 1.319000
827 224 8 1.479000
828 223 8 1.487000
829 223 9 1.651000
830 223 8 1.475000
831 224 8 1.483000
832 239 9 1.650000
833 239 8 1.476000
834 239 7 1.296000
835 239 8 1.481000
836 239 8 1.499000
837 239 8 1.499000
838 235 8 1.508000
839 235 8 1.502000
840 236 9 1.671000
841 236 8 1.499000
842 234 8 1.507000
843 235 8 1.508000
844 236 8 1.485000
845 236 8 1.491000
846 238 8 1.487000
847 239 8 1.499000
848 241 8 1.475000
849 239 8 1.485000
850 241 8 1.471000
851 242 8 1.486000
852 241 8 1.511000
853 240 8 1.471000
854 241 9 1.637000
855 238 7 1.330000
856 235 8 1.512000
857 241 8 1.541000
858 241 7 1.344000
859 242 8 1.528000
860 239 8 1.518000
861 240 8 1.511000
862 238 7 1.387000
863 237 8 1.554000
864 237 8 1.549000
865 235 8 1.569000
866 235 8 1.563000
867 227 8 1.538000
868 224 9 1.709000
869 224 8 1.539000
870 225 8 1.549000
871 226 8 1.552000
872 226 8 1.525000
873 228 7 1.342000
874 228 7 1.377000
875 228 8 1.555000
876 224 9 1.726000
877 226 8 1.564000
878 226 8 1.577000
879 233 7 1.393000
880 232 7 1.386000
881 229 8 1.551000
882 229 8 1.588000
883 230 8 1.571000
884 231 7 1.387000
885 232 8 1.567000
886 231 8 1.563000
887 229 8 1.569000
888 227 7 1.386000
889 226 8 1.566000
890 231 8 1.589000
891 229 8 1.570000
892 231 9 1.757000
893 233 9 1.751000
894 233 8 1.563000
895 233 8 1.561000
896 233 8 1.558000
897 234 8 1.545000
898 233 8 1.559000
899 235 8 1.541000
900 237 8 1.513000
901 237 8 1.515000
902 237 8 1.515000
903 238 8 1.490000
904 237 9 1.683000
905 237 8 1.518000
906 236 7 1.338000
907 236 8 1.518000
908 237 8 1.495000
