# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
543 386 19 6.878000
544 386 19 6.912000
545 387 18 6.413000
546 387 18 6.403000
547 387 19 6.697000
548 388 14 4.914000
549 386 18 6.394000
550 387 19 6.854000
551 387 17 6.289000
552 386 17 6.212000
553 386 21 7.659000
554 387 23 8.364000
555 386 21 7.635000
556 386 19 6.819000
557 387 21 7.475000
558 387 20 7.156000
559 388 19 6.880000
560 386 16 5.849000
561 386 20 7.170000
562 388 20 7.200000
563 388 21 7.379000
564 388 19 6.711000
565 388 20 6.966000
566 388 18 6.520000
567 387 21 7.624000
568 384 21 7.765000
569 384 20 7.325000
570 382 20 7.197000
571 382 19 6.804000
572 382 17 6.302000
573 372 14 5.378000
574 373 20 7.464000
575 383 22 8.170000
576 383 21 7.762000
577 381 20 7.170000
578 377 21 7.621000
579 383 22 8.204000
580 375 21 8.179000
581 378 19 7.475000
582 379 20 7.679000
583 376 18 6.945000
584 377 19 7.247000
585 375 17 6.418000
586 380 20 7.751000
587 375 21 8.039000
588 377 18 6.952000
589 377 17 6.559000
590 377 21 7.777000
591 374 22 8.140000
592 374 19 6.865000
593 380 14 5.305000
594 382 17 6.236000
595 382 14 5.180000
596 381 15 5.437000
597 380 17 6.201000
598 377 11 4.167000
599 378 18 6.593000
600 378 19 6.869000
601 378 19 6.933000
602 381 19 6.829000
603 381 20 7.192000
604 382 21 7.511000
605 379 21 7.545000
606 379 22 7.855000
607 380 19 6.908000
608 378 19 6.830000
609 378 19 6.836000
610 378 18 6.398000
611 376 19 6.846000
612 377 20 7.170000
613 378 21 7.450000
614 380 22 7.888000
615 379 20 7.494000
616 380 21 7.764000
617 381 21 7.676000
618 380 20 7.484000
619 380 20 7.447000
620 378 20 7.457000
621 378 24 8.557000
622 378 20 7.317000
623 377 21 7.520000
624 377 20 7.462000
625 376 22 8.338000
626 376 23 8.816000
627 374 22 8.517000
628 375 21 8.058000
629 378 22 8.357000
630 379 21 7.877000
631 379 22 8.122000
632 377 22 8.442000
633 377 14 5.499000
634 381 22 8.396000
635 383 19 7.292000
636 381 24 8.756000
637 380 23 8.381000
638 386 21 7.937000
639 387 23 8.762000
640 387 22 8.304000
641 387 23 8.693000
642 388 24 8.813000
643 388 22 8.089000
644 385 23 8.842000
645 386 23 8.928000
646 387 22 8.390000
647 387 20 7.742000
648 388 19 7.180000
649 388 20 7.498000
650 388 19 7.330000
651 388 19 7.358000
652 390 16 6.165000
653 389 15 5.721000
654 389 15 5.669000
655 389 15 5.627000
656 389 15 5.677000
657 390 15 5.719000
658 392 17 6.557000
659 386 17 6.460000
660 385 21 7.844000
661 385 18 6.742000
662 385 17 6.289000
663 388 12 4.488000
664 387 23 8.192000
665 385 19 6.740000
666 384 17 6.011000
667 388 19 6.703000
668 386 19 6.700000
669 386 19 6.717000
670 390 18 6.315000
671 390 19 6.809000
672 386 20 7.024000
673 387 21 7.371000
674 387 20 7.040000
675 387 18 6.358000
676 385 21 7.376000
677 390 21 7.296000
678 392 25 8.653000
679 393 20 7.013000
680 387 23 8.133000
681 384 24 8.351000
682 384 26 8.978000
683 383 25 8.673000
684 383 21 7.400000
685 383 23 8.037000
686 384 22 7.675000
687 384 21 7.353000
688 386 21 7.511000
689 387 21 7.611000
690 388 22 7.982000
691 389 21 7.644000
692 387 23 8.336000
693 384 21 7.662000
694 389 21 7.742000
695 388 22 7.837000
696 390 24 8.489000
697 389 22 7.894000
698 389 20 7.271000
699 389 21 7.730000
700 391 20 7.562000
701 391 21 7.942000
702 391 20 7.488000
703 388 18 6.768000
704 389 19 6.958000
705 392 19 6.925000
706 390 20 7.463000
707 389 20 7.522000
708 389 19 7.118000
709 388 18 6.787000
710 389 22 8.191000
711 389 22 8.086000
712 385 22 8.081000
713 382 21 7.947000
714 381 21 7.957000
715 382 24 8.971000
716 382 20 7.491000
717 383 21 7.784000
718 388 21 7.680000
719 386 20 7.585000
720 385 21 7.945000
721 385 22 8.257000
722 381 23 8.583000
723 381 22 8.137000
724 381 20 7.371000
725 385 22 8.391000
726 390 21 7.921000
727 385 21 7.808000
728 386 21 7.908000
729 382 20 7.387000
730 382 23 8.328000
731 381 20 7.526000
732 379 20 7.654000
733 381 21 7.956000
734 383 19 7.269000
735 380 20 7.467000
736 380 21 7.792000
737 380 21 7.628000
738 379 20 7.221000
739 379 19 6.815000
740 379 17 6.102000
741 379 20 7.141000
742 382 20 7.100000
743 381 16 5.713000
744 383 23 8.184000
745 382 25 8.817000
746 382 23 8.167000
747 382 21 7.503000
748 383 20 7.157000
749 384 21 7.473000
750 384 22 7.751000
751 384 22 7.759000
752 384 20 7.136000
753 381 20 7.121000
754 388 22 7.808000
755 388 24 8.474000
756 386 21 7.704000
757 385 20 7.421000
758 385 19 7.132000
759 384 20 7.505000
