# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
689 306 18 4.770000
690 307 18 4.772000
691 305 18 4.792000
692 303 12 3.261000
693 305 21 5.490000
694 305 22 5.729000
695 306 19 4.970000
696 308 21 5.522000
697 305 14 3.713000
698 307 19 5.005000
699 307 21 5.493000
700 307 21 5.494000
701 308 10 2.741000
702 308 19 5.009000
703 308 20 5.290000
704 307 22 5.756000
705 308 23 5.993000
706 314 22 5.676000
707 314 22 5.662000
708 313 20 5.217000
709 314 21 5.464000
710 314 20 5.181000
711 309 21 5.498000
712 308 20 5.275000
713 311 20 5.318000
714 310 21 5.536000
715 310 21 5.448000
716 311 26 6.672000
717 311 24 6.281000
718 311 22 5.732000
719 310 20 5.214000
720 309 20 5.173000
721 308 20 5.238000
722 307 19 4.993000
723 306 11 2.953000
724 307 22 5.656000
725 308 20 5.174000
726 308 19 4.927000
727 308 21 5.360000
728 307 21 5.370000
729 307 20 5.194000
730 308 22 5.751000
731 308 24 6.170000
732 308 23 5.977000
733 309 22 5.726000
734 310 21 5.453000
735 307 20 5.286000
736 311 22 5.632000
737 310 22 5.632000
738 310 18 4.626000
739 312 19 4.890000
740 311 19 4.925000
741 310 20 5.141000
742 312 19 4.928000
743 312 11 2.958000
744 311 20 5.131000
745 310 21 5.352000
746 308 21 5.350000
747 310 19 4.874000
748 310 18 4.570000
749 314 21 5.340000
750 314 18 4.618000
751 314 21 5.346000
752 316 21 5.367000
753 315 22 5.691000
754 313 17 4.496000
755 314 20 5.198000
756 311 22 5.754000
757 311 22 5.778000
758 311 20 5.302000
759 311 20 5.293000
760 311 20 5.312000
761 298 22 5.750000
762 304 22 5.625000
763 306 21 5.446000
764 306 21 5.413000
765 306 21 5.360000
766 305 20 5.113000
767 305 23 5.954000
768 303 23 5.824000
769 304 22 5.598000
770 307 19 4.918000
771 309 23 5.884000
772 313 22 5.573000
773 315 23 6.106000
774 314 23 6.076000
775 313 21 5.559000
776 314 21 5.516000
777 309 22 5.583000
778 308 24 6.213000
779 308 18 4.656000
780 308 20 5.196000
781 310 19 4.985000
782 311 17 4.467000
783 311 16 4.244000
784 311 16 4.247000
785 312 17 4.510000
786 311 16 4.286000
787 311 15 4.017000
788 312 24 6.274000
789 313 24 6.313000
790 313 20 5.301000
